URL,Notes
https://www.axios.com/2025/05/28/ai-jobs-white-collar-unemployment-anthropic, The average human will no longer have any political leverage
https://www.qedinvestors.com/blog/ai-agents-and-the-future-of-agentic-payments, agentic payments
https://arstechnica.com/ai/2024/11/anthropic-hires-its-first-ai-welfare-researcher/, AI welfare research
https://www.palladiummag.com/2024/05/17/my-last-five-years-of-work/, the obsolescence of work
https://www.nosetgauge.com/p/capital-agi-and-human-ambition, Implications of (top) talent-replacing AI
https://www.dwarkesh.com/p/joseph-henrich, Fantastic episode
https://www.theatlantic.com/ideas/archive/2025/01/hitler-germany-constitution-authoritarianism/681233/, The paradox of democracy
https://www.theatlantic.com/ideas/archive/2025/02/hitler-oligarchs-hugenberg-nazi/681584/, And these companies still exist today 
https://patrickcollison.com/bookshelf, Patrick Collison's bookshelf
https://en.wikipedia.org/wiki/Demis_Hassabis, Demis Hassabis
https://www.menil.org/collection/objects/7007-triumph-of-galatea, Triumph of Galatea
https://www.sothebys.com/en/buy/auction/2020/impressionist-modern-art-evening-sale/wifredo-lam-omi-obini, Omi Obini
https://huyenchip.com/2024/04/17/personal-growth.html, Personal growth
https://en.wikipedia.org/wiki/Empowerment_(artificial_intelligence), Empowerment maximization 
https://www.henrikkarlsson.xyz/p/unfolding, Life design process
https://www.henrikkarlsson.xyz/p/training-data, Training data for your life 
https://augmentingcognition.com/ltm.html, Anki
